x,y,pts_crs,aoi,naip_id,r,r_max,r_min,r_diff,r_avg,r_entr,g,g_max,g_min,g_diff,g_avg,g_entr,b,b_max,b_min,b_diff,b_avg,b_entr,nir,nir_max,nir_min,nir_diff,nir_avg,nir_entr,ndvi,ndvi_max,ndvi_min,ndvi_diff,ndvi_avg,ndvi_entr,year,month,day_in_year,iceplant
773364.6407347608,3817001.464849176,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,66,70,60,10,66.333336,3.3845654,106,108,103,5,105.55556,3.2317307,90,91,87,4,89.55556,2.9693294,184,187,173,14,182.33333,3.6864579,0.472,0.49790794,0.42975205,0.068155885,0.44444445,3.1811123,2020,5,143,1
773360.7780289697,3817003.980447902,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,87,156,73,83,97.22222,4.5560884,112,153,108,45,120.333336,4.112821,95,146,89,57,103.55556,4.1591997,184,186,176,10,183.0,3.365422,0.35793357933579334,0.43629342,0.060240965,0.37605247,0.22222222,4.323161,2020,5,143,1
773363.5853768262,3817000.2225277233,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,77,86,70,16,76.55556,4.116265,112,114,103,11,109.77778,3.8143718,89,97,89,8,91.55556,3.548527,186,187,185,2,186.33333,2.5083616,0.4144486692015209,0.45525292,0.36531365,0.08993927,0.33333334,3.6074753,2020,5,143,1
773364.5150899728,3816999.493092767,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,76,91,67,24,75.77778,4.2247214,112,116,101,15,109.666664,4.1591997,92,103,89,14,93.22222,3.801802,186,187,185,2,186.22223,2.5738833,0.4198473282442748,0.47035572,0.34057972,0.129776,0.33333334,3.9783335,2020,5,143,1
773371.3775599959,3816990.117845954,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,122,186,88,98,131.44444,4.487123,143,182,117,65,146.77777,4.6510844,122,169,97,72,128.33333,4.6510844,174,181,161,20,172.77777,4.0438557,0.17567567567567569,0.3457249,-0.07204611,0.417771,0.11111111,4.1591997,2020,5,143,1
773363.8063507788,3816986.868327824,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,93,93,83,10,88.22222,3.8109283,117,120,113,7,116.44444,3.345074,97,101,94,7,96.333336,2.9003637,182,184,181,3,182.66667,2.388131,0.3236363636363636,0.37827715,0.32363635,0.0546408,0.33333334,3.1627653,2020,5,143,1
773377.8825366771,3816986.948470188,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,86,93,81,12,86.666664,4.07333,114,121,108,13,115.77778,4.0642033,98,106,95,11,99.666664,3.7848978,181,181,180,1,180.88889,2.4682233,0.35580524344569286,0.3816794,0.3211679,0.0605115,0.33333334,3.633506,2020,5,143,1
773377.6603251866,3816986.831437158,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,93,93,81,12,89.22222,4.0212684,121,121,112,9,117.55556,3.9002419,99,102,96,6,99.0,3.6243796,181,182,181,1,181.33333,2.496938,0.32116788321167883,0.3816794,0.3211679,0.0605115,0.33333334,3.5519705,2020,5,143,1
773367.8915232216,3816990.833483922,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,93,171,88,83,114.77778,4.5131536,125,173,112,61,133.33333,4.0867906,109,160,97,63,118.55556,4.444188,175,179,163,16,173.0,3.7159321,0.30597014925373134,0.34082398,-0.023952097,0.36477607,0.11111111,3.8833375,2020,5,143,1
774222.75524058,3817442.175976645,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,113,117,113,4,114.77778,3.3416305,125,130,122,8,125.77778,3.7419627,95,100,93,7,96.22222,3.3711047,184,188,181,7,184.22223,3.6504104,0.23905723905723905,0.24414715,0.21885522,0.025291935,0.22222222,2.8849022,2020,5,143,1
