x,y,pts_crs,naip_id,aoi,r,g,b,nir,ndvi,year,month,day_in_year,iceplant,r_avg13,r_entr13,g_avg13,g_entr13,b_avg13,b_entr13,nir_avg13,nir_entr13,ndvi_avg13,ndvi_entr13
-120.23545412756047,34.47387104219187,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,136,145,95,173,0.1197411003236245,2020,5,143,0.0,134.4793,4.340107,139.37279,4.248974,97.59171,4.014971,162.31361,4.412223,0.088757396,3.3562906
-120.2338303969294,34.471127169524465,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,114,111,99,146,0.123076923076923,2020,5,143,0.0,135.90532,5.1460695,126.23669,4.845412,112.11243,5.009617,147.36095,4.2158337,0.041420117,4.372104
-120.21544315473436,34.47712369463811,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,137,119,103,151,0.0486111111111111,2020,5,143,0.0,119.14201,5.1020174,112.40237,4.4161253,95.98225,4.6086364,149.57396,5.248295,0.112426035,4.626441
-120.21796075181408,34.477005290401,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,116,115,94,162,0.1654676258992805,2020,5,143,0.0,118.06509,4.967477,119.91124,4.1761575,95.21302,4.281446,163.23077,4.302481,0.1597633,4.406389
-120.0544234418748,34.464051373319904,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,157,148,134,163,0.01875,2020,5,143,0.0,144.59172,4.956519,143.45563,4.035792,123.78698,4.8441577,163.38461,4.8712497,0.0591716,4.3800507
-120.05035418147033,34.46394697761937,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,139,142,124,163,0.0794701986754966,2020,5,143,0.0,150.5207,5.4758124,150.68048,4.833534,134.76923,5.2045918,161.90532,5.025653,0.03550296,4.540955
-120.0248371386106,34.464501607676524,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,144,155,143,161,0.0557377049180327,2020,5,143,0.0,132.72781,5.293971,144.36095,4.44235,137.48521,4.9619207,127.15385,5.6022773,-0.0295858,5.3629375
-120.05522731010228,34.46387273593602,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,126,133,119,163,0.1280276816608996,2020,5,143,0.0,145.63905,5.031939,142.97041,4.6961937,132.20119,4.8907404,151.23668,4.8233514,0.01775148,4.1688113
-119.997819945475,34.46190481876976,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,131,132,100,187,0.1761006289308176,2020,5,143,0.0,130.39053,5.3660216,138.33728,5.2261157,112.98817,5.052209,174.4142,5.175898,0.16568047,5.1104655
-120.04913497433628,34.46376170932168,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,121,141,129,162,0.1448763250883392,2020,5,143,0.0,146.66864,5.281351,149.57988,4.92143,136.38461,4.9366574,151.0651,5.067566,0.01183432,4.7684727
-120.05904337235968,34.4691507003854,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,87,100,85,158,0.2897959183673469,2020,5,143,0.0,109.62722,5.448925,114.48521,5.26474,103.40237,5.2746706,155.46745,4.9160666,0.17751479,4.8850427
-120.04437409372952,34.466139909791195,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,123,124,106,168,0.1546391752577319,2020,5,143,0.0,141.23668,5.5245714,137.02367,5.0118976,122.05325,5.1531186,161.62721,5.0303373,0.07100592,4.842785
-120.05543491571058,34.46375686303836,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,142,141,120,157,0.0501672240802675,2020,5,143,0.0,140.95267,5.066595,141.73964,4.624885,131.85207,5.2043877,147.33136,5.054717,0.01775148,4.4505243
